1;Dünenstraße;11;17419;Aalbeck;MVP
2;Krummer Weg;100;99094;Erfurt;TH
3;Zellaer Straße;50;98559;Oberhof;TH
4;Watzmannstraße;1;83473;Berchtesgaden;BY
5;Dünenstraße;12;17419;Aalbeck;MVP
6;Dünenstraße;13;17419;Aalbeck;MVP
7;Dünenstraße;14;17419;Aalbeck;MVP
8;Krummer Weg;101;99094;Erfurt;TH
9;Krummer Weg;102;99094;Erfurt;TH
10;Krummer Weg;103;99094;Erfurt;TH
11;Zellaer Straße;51;98559;Oberhof;TH
12;Zellaer Straße;52;98559;Oberhof;TH
13;Zellaer Straße;53;98559;Oberhof;TH
14;Watzmannstraße;2;83473;Berchtesgaden;BY
15;Watzmannstraße;3;83473;Berchtesgaden;BY
16;Watzmannstraße;4;83473;Berchtesgaden;BY
17;Sonnenstraße;56;99086;Erfurt;TH
18;Bergstraße;79;99084;Erfurt;TH
19;Steigergasse;54;99085;Erfurt;TH
20;Frühlingsmarkt;45;99086;Erfurt;TH
21;Amselweg;48;99085;Erfurt;TH
22;Feldstraße;36;99093;Erfurt;TH
23;Nachtigallenweg;34;99086;Erfurt;TH
24;Nelkenstr.;112;99084;Erfurt;TH
25;Nerlystr.;9;99085;Erfurt;TH
26;Nessegrund;38;99086;Erfurt;TH
27;Nettelbeckufer;167;99085;Erfurt;TH
28;Neue Alacher Chaussee;87;99093;Erfurt;TH
29;Neue Str.;39;99086;Erfurt;TH
30;Alfred-Brehm-Str.;22;99084;Erfurt;TH
31;Alfred-Delp-Ring;3;99085;Erfurt;TH
32;Alfred-Hanf-Str.;7;99086;Erfurt;TH
33;Alfred-Hess-Str.;4;99085;Erfurt;TH
34;Allee;34;99093;Erfurt;TH
35;Allerheiligenstr.;56;99086;Erfurt;TH
36;Alperstedter Str.;2;99084;Erfurt;TH
37;Alperstedter Weg;3;99085;Erfurt;TH
38;Alt-Schmidtstedter Weg;5;99086;Erfurt;TH
39;Alte Chaussee;6;99085;Erfurt;TH
40;Alte Mittelgasse;7;17406;Usedom;MVP
41;Alte Mittelhäuser Str.;98;17406;Usedom;MVP
42;Alte Mühlhäuser Str.;4;17406;Usedom;MVP
43;Alte Schmiede;2;17406;Usedom;MVP
44;Fahnerscher Weg;45;17406;Usedom;MVP
45;Falkenberger Str.;4;17406;Usedom;MVP
46;Falkehäuser Weg;3;17406;Usedom;MVP
47;Falkenried;2;83471;Berchtesgaden;BY
48;Falkenweg;3;83471;Berchtesgaden;BY
49;Falloch;65;83471;Berchtesgaden;BY
50;Farbengasse;7;83471;Berchtesgaden;BY
51;Fasanenweg;2;83471;Berchtesgaden;BY
52;Alte Schulgasse;4;83471;Berchtesgaden;BY
53;Altenburg;6;83471;Berchtesgaden;BY
54;Altenburger Str.;4;83471;Berchtesgaden;BY
55;Nessegrund;3;17406;Usedom;MVP
56;Nettelbeckufer;8;17406;Usedom;MVP
57;Neue Alacher Chaussee;6;17406;Usedom;MVP
58;Neue Str.;43;17406;Usedom;MVP
59;Alfred-Brehm-Str.;2;17406;Usedom;MVP
60;Adalberthof;1;17406;Usedom;MVP
61;Adalbertstr.;4;17406;Usedom;MVP
62;Adam-Gottschalk-Str.;6;17406;Usedom;MVP
63;Adam-Ries-Str.;7;83471;Berchtesgaden;BY
64;Adelheid-Dietrich-Str.;43;83471;Berchtesgaden;BY
65;Adolf-Diesterweg-Str.;65;83471;Berchtesgaden;BY
66;Adolf-Herzer-Str.;3;99093;Erfurt;TH
67;Ahornweg;21;99086;Erfurt;TH
68;Akazienallee;4;99084;Erfurt;TH
69;Sonnenstraße;57;99086;Erfurt;TH
70;Sonnenstraße;58;99086;Erfurt;TH
71;Sonnenstraße;59;99086;Erfurt;TH
72;Sonnenstraße;60;99086;Erfurt;TH
73;Sonnenstraße;61;99086;Erfurt;TH
74;Sonnenstraße;62;99086;Erfurt;TH
75;Sonnenstraße;63;99086;Erfurt;TH
76;Blumenallee;1;98559;Oberhof;TH
77;Blumenallee;2;98559;Oberhof;TH
78;Blumenallee;3;98559;Oberhof;TH
79;Blumenallee;4;98559;Oberhof;TH
80;Blumenallee;5;98559;Oberhof;TH
81;Blumenallee;6;98559;Oberhof;TH
82;Blumenallee;7;98559;Oberhof;TH
83;Blumenallee;8;98559;Oberhof;TH
84;Siegerstraße;1;17406;Usedom;MVP
85;Siegerstraße;2;17407;Usedom;MVP
86;Siegerstraße;3;17408;Usedom;MVP
87;Siegerstraße;4;17409;Usedom;MVP
88;Siegerstraße;5;17410;Usedom;MVP
89;Siegerstraße;6;17411;Usedom;MVP
90;Siegerstraße;7;17412;Usedom;MVP
91;Siegerstraße;8;17413;Usedom;MVP
92;Ferienstraße;1;83471;Berchtesgaden;BY
93;Ferienstraße;2;83471;Berchtesgaden;BY
94;Ferienstraße;3;83471;Berchtesgaden;BY
95;Ferienstraße;4;83471;Berchtesgaden;BY
96;Ferienstraße;5;83471;Berchtesgaden;BY
97;Ferienstraße;6;83471;Berchtesgaden;BY
98;Ferienstraße;7;83471;Berchtesgaden;BY
99;Ferienstraße;8;83471;Berchtesgaden;BY
