1;1;1
2;2;4
3;2;1
4;3;4
5;3;1
6;4;4
7;4;1
8;5;4
9;5;1
10;6;3
11;6;1
12;7;3
13;7;1
14;8;3
15;8;1
16;9;3
17;9;1
18;10;3
19;11;3
20;12;3
21;13;3
22;14;3
23;15;3
24;16;3
25;17;3
26;17;3
27;17;3
28;18;2
29;18;1
30;19;2
31;19;1
32;20;2
33;20;1
34;21;2
35;21;1
36;22;6
37;22;1
38;23;2
39;24;2
40;25;2
41;26;6
42;26;1
43;27;2
44;28;2
45;29;2
46;30;6
47;30;1
48;31;2
49;32;2
50;33;2
51;34;6
52;34;1
53;35;2
54;36;2
55;37;2
56;38;7
57;39;7
58;40;7
59;41;7
60;42;7
61;43;7
62;44;7
63;45;7
64;46;7
65;47;7
66;48;7
