1;4;2;2;60;30;C;30;10;17
2;2;1;1;35;30;C;30;10;69
3;6;3;2;85;30;C;30;10;70
4;6;3;3;100;30;C;30;10;71
5;4;2;1;55;30;C;30;10;72
6;8;4;3;180;60;C;30;10;73
7;12;6;4;225;60;C;30;10;74
8;16;8;8;265;60;C;30;10;75
9;4;2;2;62;30;C;20;20;76
10;2;1;1;35;30;C;20;20;77
11;6;3;2;85;30;C;20;20;78
12;6;3;3;112;30;C;20;20;79
13;4;2;1;55;30;C;20;20;80
14;8;4;3;192;60;C;20;20;81
15;12;6;4;225;60;C;20;20;82
16;16;8;3;265;60;C;20;20;83
17;4;2;2;55;30;C;10;30;84
18;2;1;1;35;30;C;10;30;85
19;6;3;2;85;30;C;10;30;86
20;6;3;3;98;30;C;10;30;87
21;4;2;1;55;30;C;10;30;88
22;8;4;3;178;60;C;10;30;89
23;12;6;4;225;60;C;10;30;90
24;16;8;8;265;60;C;10;30;91
25;4;2;2;61;30;C;20;40;92
26;2;1;1;35;30;C;20;40;93
27;6;3;2;85;30;C;20;40;94
28;6;3;3;105;30;C;20;40;95
29;4;2;1;55;30;C;20;40;96
30;8;4;3;182;60;C;20;40;97
31;12;6;4;225;60;C;20;40;98
32;16;8;8;265;60;C;20;40;99
